names,years,num_trips
Central Park S & 6 Ave,2014,32894
Central Park S & 6 Ave,2015,57091
Central Park S & 6 Ave,2016,58550
Central Park W & W 96 St,2016,5905
Central Park West & W 100 St,2016,2245
Central Park West & W 102 St,2016,2851
Central Park West & W 68 St,2015,7621
Central Park West & W 68 St,2016,27571
Central Park West & W 72 St,2015,11795
Central Park West & W 72 St,2016,32779
Central Park West & W 76 St,2015,6971
Central Park West & W 76 St,2016,20948
Central Park West & W 85 St,2015,8870
Central Park West & W 85 St,2016,35025
Centre St & Chambers St,2013,28568
Centre St & Chambers St,2014,42485
Centre St & Chambers St,2015,56688
Centre St & Chambers St,2016,49720
Centre St & Worth St,2013,13557
Centre St & Worth St,2014,19714
Centre St & Worth St,2015,22059
Centre St & Worth St,2016,20116
Cherry St,2013,6616
Cherry St,2014,12352
Cherry St,2015,13422
Cherry St,2016,11764
Christopher St & Greenwich St,2013,28997
Christopher St & Greenwich St,2014,55320
Christopher St & Greenwich St,2015,60689
Christopher St & Greenwich St,2016,53175
Church St & Leonard St,2013,13388
Church St & Leonard St,2014,710
Clark St & Henry St,2013,10338
Clark St & Henry St,2014,12046
Clark St & Henry St,2015,15905
Clark St & Henry St,2016,13508
Clermont Ave & Lafayette Ave,2013,3709
Clermont Ave & Lafayette Ave,2014,5292
Clermont Ave & Lafayette Ave,2015,6187
Clermont Ave & Lafayette Ave,2016,5831
Clermont Ave & Park Ave,2013,2304
Clermont Ave & Park Ave,2014,4137
Clermont Ave & Park Ave,2015,4691
Clermont Ave & Park Ave,2016,3978
Cleveland Pl & Spring St,2013,36531
Cleveland Pl & Spring St,2014,60092
Cleveland Pl & Spring St,2015,70374
Cleveland Pl & Spring St,2016,62697
Cliff St & Fulton St,2013,16613
Cliff St & Fulton St,2014,23684
Cliff St & Fulton St,2015,21415
Cliff St & Fulton St,2016,18021
Clinton Ave & Flushing Ave,2013,2339
Clinton Ave & Flushing Ave,2014,4427
Clinton Ave & Flushing Ave,2015,5027
Clinton Ave & Flushing Ave,2016,6508
Clinton Ave & Myrtle Ave,2013,7266
Clinton Ave & Myrtle Ave,2014,13420
Clinton Ave & Myrtle Ave,2015,13776
Clinton Ave & Myrtle Ave,2016,12740
Clinton St & 4 Place,2016,1055
Clinton St & Centre St,2016,100
Clinton St & Grand St,2013,13038
Clinton St & Grand St,2014,18730
Clinton St & Grand St,2015,19842
Clinton St & Grand St,2016,19309
Clinton St & Joralemon St,2013,4981
Clinton St & Joralemon St,2014,8109
Clinton St & Joralemon St,2015,10116
Clinton St & Joralemon St,2016,9131
Clinton St & Tillary St,2013,6362
Clinton St & Tillary St,2014,6336
Clinton St & Tillary St,2015,9558
Clinton St & Tillary St,2016,10730
Clinton St & Union St,2016,1206
Coffey St & Conover St,2016,153
Columbia Heights & Cranberry St,2013,3697
Columbia Heights & Cranberry St,2014,5459
Columbia Heights & Cranberry St,2015,6256
Columbia Heights & Cranberry St,2016,5197
Columbia St & Degraw St,2016,1197
Columbia St & Kane St,2016,1032
Columbia St & Lorraine St,2016,167
Columbia St & Rivington St,2013,7795
Columbia St & Rivington St,2014,12474
Columbia St & Rivington St,2015,14482
Columbia St & Rivington St,2016,13117
Columbia St & W 9 St,2016,64
Columbus Ave & W 103 St,2016,458
Columbus Ave & W 72 St,2015,11493
Columbus Ave & W 72 St,2016,27725
Columbus Ave & W 95 St,2016,3981
Commerce St & Van Brunt St,2016,607
Concord St & Bridge St,2013,2818
Concord St & Bridge St,2014,4456
Concord St & Bridge St,2015,5337
Concord St & Bridge St,2016,6432
Congress St & Clinton St,2016,1772
Cooper Square & E 7 St,2016,29444
Court St & Nelson St,2016,771
Court St & State St,2016,1724
Cumberland St & Lafayette Ave,2013,5103
Cumberland St & Lafayette Ave,2014,8219
Cumberland St & Lafayette Ave,2015,7904
Cumberland St & Lafayette Ave,2016,7448
DeKalb Ave & Hudson Ave,2013,11229
DeKalb Ave & Hudson Ave,2014,12403
DeKalb Ave & Hudson Ave,2015,12931
DeKalb Ave & Hudson Ave,2016,11428
DeKalb Ave & S Portland Ave,2013,4348
DeKalb Ave & S Portland Ave,2014,6833
DeKalb Ave & S Portland Ave,2015,7847
DeKalb Ave & S Portland Ave,2016,7349
DeKalb Ave & Skillman St,2013,2185
DeKalb Ave & Skillman St,2014,3548
DeKalb Ave & Skillman St,2015,4028
DeKalb Ave & Skillman St,2016,4252
DeKalb Ave & Vanderbilt Ave,2013,4774
DeKalb Ave & Vanderbilt Ave,2014,7775
DeKalb Ave & Vanderbilt Ave,2015,9039
DeKalb Ave & Vanderbilt Ave,2016,9218
Dean St & 4 Ave,2013,8299
Dean St & 4 Ave,2014,11396
Dean St & 4 Ave,2015,12791
Dean St & 4 Ave,2016,11621
Dean St & Hoyt St,2016,867
Degraw St & Hoyt St,2016,4
Degraw St & Smith St,2016,997
Devoe St & Leonard St,2015,1989
Devoe St & Leonard St,2016,5161
Division Ave & Hooper St,2015,1545
Division Ave & Hooper St,2016,3677
Division Ave & Marcy Ave,2015,955
Division Ave & Marcy Ave,2016,1681
Division St & Bowery,2013,11950
Division St & Bowery,2014,19385
Division St & Bowery,2015,21563
Division St & Bowery,2016,20016
Douglass St & 3 Ave,2016,848
Douglass St & 4 Ave,2016,1094
Driggs Ave & Lorimer St,2015,3346
Driggs Ave & Lorimer St,2016,6412
Driggs Ave & N Henry St,2015,3865
Driggs Ave & N Henry St,2016,8231
Duane St & Greenwich St,2013,11098
Duane St & Greenwich St,2014,16349
Duane St & Greenwich St,2015,18375
Duane St & Greenwich St,2016,16739
Duffield St & Willoughby St,2013,3734
